grupo,entidad
GRUPO 1,Pensiones Alimenticias Grupo N.1
GRUPO 1,S.P.I.
GRUPO 1,Estamentos de Seguridad
GRUPO 1,Min. de Educacion
GRUPO 1,Min. de Cultura
GRUPO 2,Pensiones Alimenticias Grupo N.2 y N.3
GRUPO 2,Asamblea Nacional
GRUPO 2,Contraloria General
GRUPO 2,Min. de la Presidencia
GRUPO 2,Min. de Relaciones Exteriores
GRUPO 2,Min. de Comercio e Industrias
GRUPO 2,Min. de Obras Publicas
GRUPO 2,Min. de Economia y Finanzas
GRUPO 2,Min. de Gobierno
GRUPO 2,Min. de Seguridad Publica
GRUPO 2,Min. de Ambiente
GRUPO 2,Tribunal Advo. de la Funcion Publica
GRUPO 2,Defensoria del Pueblo
GRUPO 3,Min. de Desarrollo Agropecuario
GRUPO 3,Min. de Salud
GRUPO 3,Min. de Trabajo y Desarrollo Laboral
GRUPO 3,Min. de Vivienda
GRUPO 3,Min. de Desarrollo Social
GRUPO 3,Tribunal Administrativo Tributario
GRUPO 3,Min. de la Mujer
GRUPO 3,Organo Judicial
GRUPO 3,Procuraduria General de la Nacion
GRUPO 3,Procuraduria de la Administracion
GRUPO 3,Tribunal Electoral
GRUPO 3,Fiscalia General Electoral
GRUPO 3,Otros Gastos de Admon.
GRUPO 3,Tribunal de Cuentas
GRUPO 3,Fiscalia de Cuentas
